code,population
fr_TD,4388124
fr_TF,140
fr_TG,5251148
fr_TN,8673688
fr_US,1862778
fr_VU,149166
fr_WF,7609
fr_YT,110579
frc,27941
frc_US,27941
frp,63777
frp_FR,63777
frr,9619
frr_DE,9619
frs,2003
frs_DE,2003
fud,4756
fud_WF,4756
fuq,1594068
fuq_NE,1594068
fur,37441
fur_IT,37441
fuv,14339876
fuv_NG,14339876
fvr,1230163
fvr_SD,1230163
fy,743057
fy_NL,743057
ga,1237487
ga_GB,98641
ga_IE,1138845
gaa,821525
gaa_GH,821525
gag,111028
gag_MD,111028
gan,23698340
gan_CN,23698340
gay,320431
gay_ID,320431
gbm,3580443
gbm_IN,3580443
gbz,7982
gbz_IR,7982
gcr,51872
gcr_GF,51872
gd,72337
gd_GB,72337
gez,0
gez_ET,0
gil,67077
gil_KI,67077
gjk,256851
gjk_PK,256851
gju,467002
gju_PK,467002
gl,3515529
gl_ES,3501106
gl_PT,14423
glk,3906471
glk_IR,3906471
gn,5827106
gn_AR,21375
gn_BO,52379
gn_PY,5753352
gom,4243488
gom_IN,4243488
gon,3182615
gon_IN,3182615
gor,1094806
gor_ID,1094806
gos,622094
gos_NL,622094
grt,821562
grt_BD,118735
grt_IN,702827
gsw,7956951
gsw_CH,5462593
gsw_DE,1843673
gsw_FR,617418
gsw_LI,33266
gu,61721798
gu_CA,135698
gu_GB,1907071
gu_IN,59674050
gu_KE,4978
gub,17784
gub_BR,17784
guc,132528
guc_CO,132528
gur,1026907
gur_GH,1026907
guz,2622867
guz_KE,2622867
gv,1719
gv_IM,1719
gvr,87950
gvr_NP,87950
gwi,301
gwi_CA,301
ha,37412649
ha_Arab,2999231
ha_Arab_CM,38843
ha_Arab_NG,2140280
ha_Arab_SD,820108
ha_GH,252325
ha_NE,9336684
ha_NG,27823640
hak,32062460
hak_CN,32062460
haw,29604
haw_US,29604
haz,2161984
haz_AF,2161984
he,8675480
he_IL,8675480
hi,545556054
hi_CA,188470
hi_FJ,411828
hi_IN,543696900
hi_Latn,1326090
hi_Latn_IN,1326090
hi_NP,127377
hi_UG,2205
hi_ZA,1129272
hif,383749
hif_FJ,383749
hil,9171204
hil_PH,9171204
hnd,957354
hnd_PK,957354
hne,14586990
hne_IN,14586990
hnj,781686
hnj_AU,2190
hnj_CN,55760
hnj_FR,128911
hnj_GF,4788
hnj_LA,223422
hnj_MM,12449
hnj_SR,2316
hnj_TH,67597
hnj_US,116423
hnj_VN,167826
hnn,17468
hnn_PH,17468
hno,3969517
hno_PK,3969517
ho,152448
ho_PG,152448
hoc,1312829
hoc_IN,1312829
hoj,1087393
hoj_IN,1087393
hr,6813163
hr_AT,106313
hr_BA,460270
hr_CA,45232
hr_DE,633261
hr_HR,4185472
hr_HU,31269
hr_IT,3494
hr_RS,65213
